StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q10,Q12,Q13,Q14_1,Q15,Q16_0_GROUP,Q16_1_GROUP,Q16_0_1_RANK,Q16_0_2_RANK,Q16_0_9_RANK,Q16_0_3_RANK,Q16_0_4_RANK,Q16_0_5_RANK,Q16_0_7_RANK,Q16_0_14_RANK,Q16_0_15_RANK,Q16_1_1_RANK,Q16_1_2_RANK,Q16_1_9_RANK,Q16_1_3_RANK,Q16_1_4_RANK,Q16_1_5_RANK,Q16_1_7_RANK,Q16_1_14_RANK,Q16_1_15_RANK,Q17,Q18_1,Q18_2,Q19,Q20,Q21_1,Q21_2,Q22_1_x,Q22_1_y,Q22,Q7 - Topics
8/28/2019 15:18:38,8/28/2019 15:21:24,IP Address,131.212.249.38,100,165,True,8/28/2019 15:21:24,R_3JqJJQC5tz3YH1c,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",25-34 years old,Female,White,Bachelor's degree,"$105,000 or more",55410,Urban,4,4,4,1,1,3,4,4,"Water purifiers/filter
 ",7,Nitrogen ,1,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life","Human Waste Products,Commercial/Industrial Waste,Urban Runoff (storm drains),Food/Garbage Disposal Waste,Agriculture","Individual Sewage Systems,Atmospheric Deposition,Dish-washing Detergent,Stream Bank Erosion",5,4,,1,2,3,,,,,,2,,,,4,3,1,Application of fertilizers,1,1,News outlets,Consumer,3,3,389,599,The Twin-Cities Metro Area,Unknown
9/2/2019 10:30:30,9/2/2019 10:33:16,IP Address,131.212.249.86,100,165,True,9/2/2019 10:33:16,R_1NhpmesrM5XVy7E,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Male,White,Bachelor's degree,"$65,000 - $79,999",55126,Suburban,4,4,5,3,0,0,5,5,"Water purifiers/filter
 ",5,Synthetic chemicals,2,Algae blooms,Stream Bank Erosion,,,,,,,,1,,,,,,,,,,,,Erosion,4,3,School,Consumer,,2,393,605,The Twin-Cities Metro Area,Unknown
9/2/2019 11:36:45,9/2/2019 11:39:35,IP Address,131.212.249.8,100,170,True,9/2/2019 11:39:36,R_1Nw7IMpo75yPSkR,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",25-34 years old,Female,Hispanic or Latino,Associate's Degree,"$45,000 - $64,999",55423,Urban,3,4,5,3,2,2,2,5,"Water purifiers/filter
 ,Water cooler tanks (e.g. Culligan Water)
 ",10,Pesticides,0,"Toxic drinking water,Algae blooms","Urban Runoff (storm drains),Human Waste Products,Food/Garbage Disposal Waste","Individual Sewage Systems,Dish-washing Detergent,Stream Bank Erosion",,3,,2,,1,,,,,,,,,,3,2,1,Erosion,3,3,Other,Consumer,4,4,390,615,The Twin-Cities Metro Area,Unknown
8/28/2019 18:27:42,8/28/2019 18:30:37,IP Address,131.212.248.179,100,174,True,8/28/2019 18:30:37,R_22YzMTjTvFXSNHm,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",35-44 years old,Female,White,Bachelor's degree,"$80,000 - $104,999",55105,Urban,5,5,5,3,3,3,5,5,I don't use any of these on a regular basis,10,Pesticides,1,"Algae blooms,Heavy Metal Contamination","Stream Bank Erosion,Agriculture,Commercial/Industrial Waste,Urban Runoff (storm drains),Atmospheric Deposition","Dish-washing Detergent,Individual Sewage Systems,Food/Garbage Disposal Waste,Human Waste Products",2,,5,,3,4,1,,,,3,,4,,,,1,2,Cropland runoff,5,5,News outlets,Consumer,3,3,390,607,The Twin-Cities Metro Area,Unknown
9/2/2019 9:17:39,9/2/2019 9:20:34,IP Address,131.212.248.178,100,175,True,9/2/2019 9:20:35,R_3G25d3rymkmMQFx,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Male,White,Bachelor's degree,"Less than $24,999",55119,Suburban,3,1,4,1,3,3,4,4,"Water purifiers/filter
 ,Bottled Water
 ",7,Bacteria,2,"Algae blooms,Flooding,Disease from consumption","Commercial/Industrial Waste,Agriculture,Atmospheric Deposition,Urban Runoff (storm drains),Food/Garbage Disposal Waste,Human Waste Products","Individual Sewage Systems,Stream Bank Erosion,Dish-washing Detergent",2,5,3,6,1,4,,,,,,,,,,2,3,1,Cropland runoff,3,3,School,Consumer,3,3,307,521,Central Minnesota,Unknown
8/28/2019 19:46:30,8/28/2019 19:49:27,IP Address,131.212.251.118,100,176,True,8/28/2019 19:49:27,R_RJI61TnJdE8W4Zr,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",35-44 years old,Female,White,Graduate or professional degree,"$45,000 - $64,999",55103,Urban,5,4,4,4,2,2,5,4,"Water cooler tanks (e.g. Culligan Water)
 ,Water softeners
 ,Bottled Water
 ",5,Bacteria,0,Skin rashes with contact,Urban Runoff (storm drains),Human Waste Products,,,,,,1,,,,,,,1,,,,,,I don’t know,4,3,News outlets,Consumer,,2,385,596,The Twin-Cities Metro Area,Unknown
9/2/2019 12:06:18,9/2/2019 12:09:14,IP Address,131.212.251.250,100,176,True,9/2/2019 12:09:15,R_ue6dMIv5KOJYOsx,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",35-44 years old,Male,White,Graduate or professional degree,"$105,000 or more",55419,Urban,5,5,5,0,5,5,5,2,I don't use any of these on a regular basis,10,Phosphorus,5,"Algae blooms,Death of fish and other aquatic life,Waterborne pathogens,Eutrophication,Skin rashes with contact","Food/Garbage Disposal Waste,Commercial/Industrial Waste,Human Waste Products,Individual Sewage Systems,Urban Runoff (storm drains),Agriculture",,6,1,,3,2,5,,,4,,,,,,,,,,Application of fertilizers,4,5,Government reports,,4,4,384,725,Southeast Minnesota,Unknown
9/2/2019 10:18:49,9/2/2019 10:21:46,IP Address,131.212.250.22,100,177,True,9/2/2019 10:21:46,R_4TSqKhXbeyBzukp,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Female,White,Bachelor's degree,"$25,000 - $44,999",55416,Suburban,4,3,4,0,2,2,5,5,"Water purifiers/filter
 ,Water softeners
 ",8,Nitrogen ,2,"Death of fish and other aquatic life,Eutrophication","Commercial/Industrial Waste,Agriculture,Urban Runoff (storm drains),Individual Sewage Systems,Stream Bank Erosion","Atmospheric Deposition,Food/Garbage Disposal Waste,Human Waste Products,Dish-washing Detergent",2,,,,1,3,5,,4,,2,1,3,,,,4,,Application of fertilizers,3,3,School,Consumer,2,2,180,621,Southwest Minnesota,Unknown
9/2/2019 12:54:51,9/2/2019 12:57:48,IP Address,131.212.251.189,100,177,True,9/2/2019 12:57:48,R_2uDnnz7m7SG5Zwn,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",25-34 years old,Female,White,Graduate or professional degree,"$45,000 - $64,999",55117,Urban,3,2,3,3,3,3,3,3,"Water softeners
 ",8,Nitrogen ,2,Disease from consumption,Food/Garbage Disposal Waste,Commercial/Industrial Waste,,1,,,,,,,,,,,,1,,,,,Application of fertilizers,2,1,News outlets,Producer/Farmer,2,3,417,607,The Twin-Cities Metro Area,Unknown
9/2/2019 8:26:44,9/2/2019 8:29:43,IP Address,131.212.249.129,100,179,True,9/2/2019 8:29:44,R_3HZG6jqS8lv0dvR,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",35-44 years old,Female,White,"Some college, no degree","$45,000 - $64,999",55109,Suburban,4,4,4,3,2,2,2,2,"Bottled Water
 ",1,Phosphorus,0,Flooding,Human Waste Products,,,,,1,,,,,,,,,,,,,,,I don’t know,1,1,School,,0,5,378,596,The Twin-Cities Metro Area,Unknown
9/2/2019 11:13:33,9/2/2019 11:16:33,IP Address,131.212.249.164,100,180,True,9/2/2019 11:16:33,R_O1gn3bT5xJoAcb7,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",25-34 years old,Female,Black or African American,High School Diploma or GED,"$25,000 - $44,999",55112,Urban,4,4,4,4,4,4,4,4,"Bottled Water
 ",9,Synthetic chemicals,4,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life,Flooding,Disease from consumption,Eutrophication,Heavy Metal Contamination,Skin rashes with contact",,,,,,,,,,,,,,,,,,,,,Application of fertilizers,4,5,Other,Consumer,4,5,390,594,The Twin-Cities Metro Area,Unknown
9/2/2019 9:47:48,9/2/2019 9:50:49,IP Address,131.212.250.78,100,181,True,9/2/2019 9:50:50,R_2z8aGe6hvdRVR8S,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",55-64 years old,Female,White,Bachelor's degree,"$105,000 or more",55104,Urban,4,4,5,3,4,4,5,4,"Water purifiers/filter
 ,Water cooler tanks (e.g. Culligan Water)
 ,Bottled Water
 ",10,Phosphorus,2,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life,Flooding,Waterborne pathogens,Disease from consumption,Eutrophication,Heavy Metal Contamination,Skin rashes with contact",Agriculture,Individual Sewage Systems,1,,,,,,,,,,,,,,,,,1,I don’t know,3,4,News outlets,Consumer,5,4,386,609,The Twin-Cities Metro Area,Unknown
8/28/2019 19:35:15,8/28/2019 19:38:22,IP Address,131.212.249.233,100,186,True,8/28/2019 19:38:22,R_24CTpBdu9h5VW5q,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Male,White,Bachelor's degree,"Less than $24,999",55119,Suburban,4,2,5,2,3,3,5,5,"Water purifiers/filter
 ,Bottled Water
 ",7,Pesticides,0,"Toxic drinking water,Algae blooms,Eutrophication","Agriculture,Human Waste Products,Commercial/Industrial Waste","Urban Runoff (storm drains),Individual Sewage Systems,Food/Garbage Disposal Waste",1,,,2,3,,,,,,3,,,,1,,,2,Erosion,2,1,Word-of-mouth,Consumer,1,1,396,728,Southeast Minnesota,Unknown
9/2/2019 8:34:56,9/2/2019 8:38:02,IP Address,131.212.250.33,100,186,True,9/2/2019 8:38:03,R_2TLBLXvIKH25c8I,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Female,White,Bachelor's degree,"Less than $24,999",55116,Urban,4,3,5,3,2,5,5,5,"Water purifiers/filter
 ,Water cooler tanks (e.g. Culligan Water)
 ,Bottled Water
 ",0,Pesticides,0,"Death of fish and other aquatic life,Waterborne pathogens,Skin rashes with contact","Food/Garbage Disposal Waste,Urban Runoff (storm drains),Human Waste Products,Dish-washing Detergent,Commercial/Industrial Waste","Individual Sewage Systems,Agriculture,Atmospheric Deposition,Stream Bank Erosion",,1,,3,5,2,,4,,2,,3,,,,4,,1,Application of fertilizers,4,4,News outlets,Consumer,3,3,617,263,Other,Unknown
9/2/2019 11:45:06,9/2/2019 11:48:14,IP Address,131.212.250.190,100,187,True,9/2/2019 11:48:15,R_2xRXqUWmW98BSYr,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Male,White,Bachelor's degree,"Less than $24,999",55025,Suburban,4,2,3,2,1,1,4,3,"Bottled Water
 ",5,Nitrogen ,1,"Toxic drinking water,Waterborne pathogens,Disease from consumption","Urban Runoff (storm drains),Agriculture,Commercial/Industrial Waste,Human Waste Products,Food/Garbage Disposal Waste,Dish-washing Detergent","Individual Sewage Systems,Atmospheric Deposition,Stream Bank Erosion",2,5,,4,3,1,,6,,,,2,,,,3,,1,Application of fertilizers,2,2,News outlets,Consumer,2,2,405,592,The Twin-Cities Metro Area,Unknown
8/28/2019 16:25:37,8/28/2019 16:28:49,IP Address,131.212.249.13,100,191,True,8/28/2019 16:28:50,R_PRi15oYfUb9D8Z3,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Female,White,"Some college, no degree","Less than $24,999",55431,Suburban,2,4,2,3,1,1,3,3,"Bottled Water
 ",2,Bacteria,1,Death of fish and other aquatic life,"Commercial/Industrial Waste,Atmospheric Deposition,Food/Garbage Disposal Waste","Agriculture,Stream Bank Erosion,Individual Sewage Systems",,3,2,,1,,,,,1,,,,,,2,,3,Application of fertilizers,1,2,Social media,Consumer,3,3,377,588,The Twin-Cities Metro Area,Unknown
8/28/2019 15:13:50,8/28/2019 15:17:03,IP Address,131.212.248.219,100,192,True,8/28/2019 15:17:03,R_PvLf6i8PWAF5Wvf,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",25-34 years old,Female,White,Bachelor's degree,"$105,000 or more",55105,Urban,4,4,4,3,1,1,4,4,"Water purifiers/filter
 ",10,Pesticides,0,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life","Agriculture,Commercial/Industrial Waste","Individual Sewage Systems,Human Waste Products,Dish-washing Detergent",1,,,,2,,,,,,,,2,,,,3,1,I don’t know,3,2,News outlets,Consumer,2,2,382,599,The Twin-Cities Metro Area,Unknown
9/2/2019 8:22:59,9/2/2019 8:26:14,IP Address,131.212.249.129,100,194,True,9/2/2019 8:26:14,R_1plmlssiX4ejNKd,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Male,Hispanic or Latino,Some High School,"$105,000 or more",55129,Suburban,5,5,5,5,2,3,5,5,"Water purifiers/filter
 ,Water cooler tanks (e.g. Culligan Water)
 ,Bottled Water
 ",4,Bacteria,1,"Algae blooms,Eutrophication","Individual Sewage Systems,Commercial/Industrial Waste,Dish-washing Detergent,Human Waste Products,Stream Bank Erosion","Urban Runoff (storm drains),Food/Garbage Disposal Waste,Agriculture,Atmospheric Deposition",,,,4,2,,5,3,1,3,2,4,,,1,,,,I don’t know,3,3,School,Consumer,2,4,389,333,Northeastern Minnesota,Unknown
9/2/2019 8:27:53,9/2/2019 8:31:07,IP Address,131.212.251.37,100,194,True,9/2/2019 8:31:09,R_2b14rBgYAaw9t4S,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",45-54 years old,Female,White,Bachelor's degree,"$80,000 - $104,999",55423,Suburban,3,4,4,3,4,4,5,4,I don't use any of these on a regular basis,8,Nitrogen ,2,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life","Agriculture,Commercial/Industrial Waste",Urban Runoff (storm drains),1,,,,2,,,,,,,,,,1,,,,Application of fertilizers,3,4,News outlets,Consumer,3,3,441,710,Southeast Minnesota,Unknown
8/28/2019 15:16:12,8/28/2019 15:19:28,IP Address,131.212.251.242,100,195,True,8/28/2019 15:19:28,R_1EhQOUWdJ687CCm,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Male,Asian,Bachelor's degree,"$65,000 - $79,999",55414,Urban,4,3,3,4,3,4,3,4,"Water purifiers/filter
 ,Bottled Water
 ",5,Bacteria,3,"Toxic drinking water,Heavy Metal Contamination,Skin rashes with contact","Food/Garbage Disposal Waste,Stream Bank Erosion,Commercial/Industrial Waste,Agriculture,Human Waste Products","Individual Sewage Systems,Atmospheric Deposition,Urban Runoff (storm drains),Dish-washing Detergent",4,1,,5,3,,2,,,,,2,,,3,,4,1,Application of fertilizers,3,2,Government reports,Consumer,3,4,388,600,The Twin-Cities Metro Area,Unknown
9/2/2019 12:32:14,9/2/2019 12:35:30,IP Address,131.212.248.113,100,195,True,9/2/2019 12:35:30,R_2ZUJRnxauL9m0vV,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",35-44 years old,Female,White,Graduate or professional degree,"$105,000 or more",55127,Suburban,2,5,5,4,4,4,5,4,I don't use any of these on a regular basis,10,Pesticides,1,"Algae blooms,Death of fish and other aquatic life,Skin rashes with contact","Dish-washing Detergent,Urban Runoff (storm drains),Commercial/Industrial Waste,Atmospheric Deposition,Agriculture","Individual Sewage Systems,Human Waste Products,Stream Bank Erosion,Food/Garbage Disposal Waste",5,,4,,3,2,,1,,,4,,2,,,3,,1,Application of fertilizers,4,5,News outlets,Consumer,2,2,231,666,Southwest Minnesota,Unknown
8/28/2019 15:42:47,8/28/2019 15:46:03,IP Address,131.212.250.3,100,196,True,8/28/2019 15:46:03,R_21cBBoBjgxZ8j2w,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",25-34 years old,Female,White,Graduate or professional degree,"Less than $24,999",55102,Urban,5,3,4,0,4,4,5,4,I don't use any of these on a regular basis,9,Nitrogen ,1,"Algae blooms,Death of fish and other aquatic life,Eutrophication,Skin rashes with contact","Agriculture,Individual Sewage Systems","Food/Garbage Disposal Waste,Human Waste Products,Atmospheric Deposition,Dish-washing Detergent,Commercial/Industrial Waste,Urban Runoff (storm drains),Stream Bank Erosion",1,,,,,,,,2,,1,3,2,5,6,7,4,,Cropland runoff,3,3,News outlets,Consumer,2,,372,715,Southeast Minnesota,Unknown
9/2/2019 11:31:34,9/2/2019 11:34:50,IP Address,131.212.250.15,100,196,True,9/2/2019 11:34:51,R_2vc5uTElhsQSuzC,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",18-24 years old,Female,Asian,Graduate or professional degree,"Less than $24,999",55408,Suburban,4,3,5,3,3,3,4,5,"Water purifiers/filter
 ,Water softeners
 ",10,Nitrogen ,,Skin rashes with contact,Agriculture,,1,,,,,,,,,,,,,,,,,,Cropland runoff,3,4,School,Consumer,3,4,205,317,Northwestern Minnesota,Unknown
9/2/2019 11:50:00,9/2/2019 11:53:17,IP Address,131.212.249.127,100,197,True,9/2/2019 11:53:18,R_6PDDDFooyJai4md,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",35-44 years old,Female,White,Graduate or professional degree,"$80,000 - $104,999",55108,Urban,4,4,5,1,3,3,4,4,"Water cooler tanks (e.g. Culligan Water)
 ",7,Nitrogen ,1,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life,Waterborne pathogens,Skin rashes with contact","Urban Runoff (storm drains),Commercial/Industrial Waste,Atmospheric Deposition,Stream Bank Erosion,Agriculture","Human Waste Products,Individual Sewage Systems,Dish-washing Detergent,Food/Garbage Disposal Waste",5,,3,,2,1,4,,,,4,,1,,,,3,2,Application of fertilizers,2,2,News outlets,Consumer,2,2,195,590,Southwest Minnesota,Unknown
9/2/2019 12:22:03,9/2/2019 12:25:21,IP Address,131.212.251.0,100,197,True,9/2/2019 12:25:21,R_OBZuUEmSpgEUipb,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,"I consent, begin the study",35-44 years old,Female,White,Bachelor's degree,"$45,000 - $64,999",55127,Suburban,4,4,5,4,3,3,4,5,"Water purifiers/filter
 ,Bottled Water
 ",10,Bacteria,2,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life,Disease from consumption,Eutrophication","Atmospheric Deposition,Commercial/Industrial Waste,Agriculture,Individual Sewage Systems,Food/Garbage Disposal Waste","Urban Runoff (storm drains),Stream Bank Erosion,Dish-washing Detergent,Human Waste Products",3,5,1,,2,,,,4,,,,4,,1,2,3,,Application of fertilizers,4,5,News outlets,Consumer,3,4,385,610,The Twin-Cities Metro Area,Unknown
