StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2,Q3,Q3,Q4,Q4,Q5,Q5,Q6,Q6,Q7,Q8,Q8,Q9.1,Q.9.1,Q9.2,Q.9.2,Q9.3,Q.9.3,Q11_1,Q.11.1,Q11_2,Q.11.2,Q11_3,Q.11.3,Q11_4,Q.11.4,Q11_5,Q.11.5,Q10,Q12,Q13,Q14_1,Q15,Q16_0_GROUP,Q16_1_GROUP,Q16_0_1_RANK,Q16_0_2_RANK,Q16_0_9_RANK,Q16_0_3_RANK,Q16_0_4_RANK,Q16_0_5_RANK,Q16_0_7_RANK,Q16_0_14_RANK,Q16_0_15_RANK,Q16_1_1_RANK,Q16_1_2_RANK,Q16_1_9_RANK,Q16_1_3_RANK,Q16_1_4_RANK,Q16_1_5_RANK,Q16_1_7_RANK,Q16_1_14_RANK,Q16_1_15_RANK,Q17,Q18_1,Q18_2,Q19,Q20,Q21_1,Q21_2,Q22_1_x,Q22_1_y,Q22,Q7 - Topics
8/28/2019 15:18,8/28/2019 15:21,IP Address,131.212.250.3,100,152,TRUE,8/28/2019 15:21,R_PM5ZajL6FIf0mXf,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",2,25-34 years old,2,Male,9,White,5,Bachelor's Degree,6,"$105,000 or more",55410,1,Urban,1,1,5,3,3,2,3,2,3,2,3,2,5,3,5,3,"Water purifiers/filter
 ",9,Synthetic chemicals,0,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life,Skin rashes with contact","Commercial/Industrial Waste,Individual Sewage Systems,Human Waste Products,Food/Garbage Disposal Waste,Agriculture","Dish-washing Detergent,Stream Bank Erosion,Urban Runoff (storm drains),Atmospheric Deposition",5,4,,3,1,,,,2,,,4,,,3,2,1,,I don’t know,0,0,,Consumer,1,2,383,591,The Twin-Cities Metro Area,Unknown
8/28/2019 15:18,8/28/2019 15:21,IP Address,131.212.249.38,100,165,TRUE,8/28/2019 15:21,R_3JqJJQC5tz3YH1c,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",2,25-34 years old,1,Female,9,White,5,Bachelor's Degree,6,"$105,000 or more",55410,1,Urban,4,3,4,3,4,3,1,1,1,1,3,2,4,3,4,3,"Water purifiers/filter
 ",7,Nitrogen ,1,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life","Human Waste Products,Commercial/Industrial Waste,Urban Runoff (storm drains),Food/Garbage Disposal Waste,Agriculture","Individual Sewage Systems,Atmospheric Deposition,Dish-washing Detergent,Stream Bank Erosion",5,4,,1,2,3,,,,,,2,,,,4,3,1,Application of fertilizers,1,1,News outlets,Consumer,3,3,389,599,The Twin-Cities Metro Area,Unknown
8/28/2019 15:22,8/28/2019 15:27,IP Address,131.212.248.81,100,337,TRUE,8/28/2019 15:27,R_sTGgVvbr19qjIt3,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",4,45-54 years old,2,Male,9,White,4,"Some college, no degree",4,"$65,000 - $79,999",55376,2,Suburban,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,"Water softeners
 ,Bottled Water
 ",10,Phosphorus,4,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life","Human Waste Products,Dish-washing Detergent,Commercial/Industrial Waste,Agriculture","Food/Garbage Disposal Waste,Urban Runoff (storm drains),Individual Sewage Systems,Stream Bank Erosion",4,,,1,3,,,2,,,1,,,,2,4,,3,Application of fertilizers,5,6,Government reports,Consumer,4,4,135,228,Northwestern Minnesota,Unknown
8/28/2019 15:22,8/28/2019 15:29,IP Address,131.212.249.134,100,412,TRUE,8/28/2019 15:29,R_3sn4FV3XEU0bxTR,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",6,65-74 years old,1,Female,9,White,3,Associate's Degree,4,"$65,000 - $79,999",55376,3,Rural,5,3,5,3,5,3,4,3,4,3,5,3,5,3,5,3,"Water purifiers/filter
 ,Water softeners
 ,Bottled Water
 ",10,Nitrogen ,0,,,,,,,,,,,,,,,,,,,,,,Application of fertilizers,3,3,Word-of-mouth,Producer/Farmer,3,5,379,595,The Twin-Cities Metro Area,Unknown
8/28/2019 15:19,8/28/2019 15:30,IP Address,131.212.249.252,100,644,TRUE,8/28/2019 15:30,R_2iq2WSrQhjYGAiB,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",5,55-64 years old,2,Male,9,White,4,"Some college, no degree",3,"$45,000 - $64,999",55025,2,Suburban,2,2,3,2,3,2,2,2,2,2,2,2,2,2,5,3,"Water purifiers/filter
 ,Bottled Water
 ",6,Nitrogen ,2,Algae blooms,"Agriculture,Atmospheric Deposition,Urban Runoff (storm drains),Dish-washing Detergent,Commercial/Industrial Waste","Individual Sewage Systems,Human Waste Products,Food/Garbage Disposal Waste,Stream Bank Erosion",1,,2,,5,3,,4,,,3,,2,,,4,,1,I don’t know,3,3,News outlets,Consumer,2,4,397,600,The Twin-Cities Metro Area,Unknown
8/28/2019 15:19,8/28/2019 15:31,IP Address,131.212.248.180,100,668,TRUE,8/28/2019 15:31,R_3EnTnUIfYxqnsDx,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",3,35-44 years old,1,Female,9,White,6,Graduate or professional degree,4,"$65,000 - $79,999",55406,1,Urban,5,3,5,3,5,3,0,1,0,1,3,2,5,3,5,3,I don't use any of these on a regular basis,10,Bacteria,0,"Toxic drinking water,Heavy Metal Contamination,Skin rashes with contact","Human Waste Products,Food/Garbage Disposal Waste,Commercial/Industrial Waste,Individual Sewage Systems,Dish-washing Detergent,Urban Runoff (storm drains),Atmospheric Deposition","Agriculture,Stream Bank Erosion",,2,7,1,3,6,,5,4,1,,,,,,2,,,Application of fertilizers,4,2,News outlets,Consumer,4,4,206,683,Southwest Minnesota,Unknown
8/28/2019 15:24,8/28/2019 15:31,IP Address,131.212.250.70,100,431,TRUE,8/28/2019 15:31,R_3PpjCtyHNzk2zD8,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",7,75 years or older,2,Male,9,White,4,"Some college, no degree",3,"$45,000 - $64,999",55376,1,Urban,5,3,5,3,5,3,4,3,5,3,5,3,4,3,5,3,"Water purifiers/filter
 ,Water softeners
 ,Bottled Water
 ",10,Phosphorus,3,Flooding,"Agriculture,Urban Runoff (storm drains),Human Waste Products",,1,,,3,,2,,,,,,,,,,,,,Application of fertilizers,2,3,Word-of-mouth,"Producer/Farmer,Consumer",2,4,186,659,Southwest Minnesota,Unknown
8/28/2019 15:24,8/28/2019 15:32,IP Address,131.212.248.219,100,486,TRUE,8/28/2019 15:32,R_1pXbddhcKwbqyzr,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",3,35-44 years old,2,Male,9,White,5,Bachelor's Degree,6,"$105,000 or more",55449,2,Suburban,5,3,5,3,5,3,4,3,3,2,4,3,5,3,5,3,"Water softeners
 ,Bottled Water
 ",9,Phosphorus,1,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life","Commercial/Industrial Waste,Dish-washing Detergent","Individual Sewage Systems,Agriculture",,,,,1,,,2,,2,,,,,,,,1,Application of fertilizers,4,4,Word-of-mouth,Consumer,3,3,396,582,The Twin-Cities Metro Area,Unknown
8/28/2019 15:28,8/28/2019 15:34,IP Address,131.212.248.81,100,403,TRUE,8/28/2019 15:34,R_2711sCjWj6aGsB1,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",4,45-54 years old,1,Female,9,White,5,Bachelor's Degree,4,"$65,000 - $79,999",55442,2,Suburban,5,3,4,3,4,3,4,3,4,3,5,3,5,3,5,3,I don't use any of these on a regular basis,5,Phosphorus,1,"Algae blooms,Death of fish and other aquatic life",Agriculture,Dish-washing Detergent,1,,,,,,,,,,,,,,,,1,,Application of fertilizers,2,2,News outlets,Consumer,3,3,383,611,The Twin-Cities Metro Area,Unknown
8/28/2019 15:28,8/28/2019 15:36,IP Address,131.212.250.3,100,458,TRUE,8/28/2019 15:36,R_1mxyDttlW3lhG89,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",5,55-64 years old,1,Female,9,White,5,Bachelor's Degree,5,"$80,000 - $104,999",55906,1,Urban,4,3,4,3,4,3,4,3,2,2,2,2,4,3,4,3,"Water softeners
 ,Bottled Water
 ",8,Bacteria,1,"Toxic drinking water,Algae blooms,Death of fish and other aquatic life,Waterborne pathogens,Disease from consumption,Skin rashes with contact","Food/Garbage Disposal Waste,Individual Sewage Systems,Atmospheric Deposition,Commercial/Industrial Waste,Human Waste Products,Urban Runoff (storm drains),Stream Bank Erosion,Agriculture",Dish-washing Detergent,8,1,3,5,4,6,7,,2,,,,,,,,1,,Cropland runoff,5,5,News outlets,Consumer,3,4,459,721,Southeast Minnesota,Unknown
8/28/2019 15:31,8/28/2019 15:36,IP Address,131.212.248.180,100,274,TRUE,8/28/2019 15:36,R_1GOd8BWtbBfFnf5,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",2,25-34 years old,1,Female,9,White,6,Graduate or professional degree,5,"$80,000 - $104,999",55129,2,Suburban,4,3,4,3,3,2,2,2,2,2,2,2,5,3,5,3,"Water purifiers/filter
 ,Water softeners
 ,Bottled Water
 ",10,Bacteria,0,"Toxic drinking water,Algae blooms,Waterborne pathogens,Skin rashes with contact","Individual Sewage Systems,Food/Garbage Disposal Waste,Commercial/Industrial Waste,Agriculture,Human Waste Products,Atmospheric Deposition","Dish-washing Detergent,Stream Bank Erosion,Urban Runoff (storm drains)",4,2,6,5,3,,,,1,,,,,,3,2,1,,I don’t know,2,1,Other,Consumer,2,2,383,608,The Twin-Cities Metro Area,Unknown
8/28/2019 15:22,8/28/2019 15:36,IP Address,131.212.251.195,100,850,TRUE,8/28/2019 15:36,R_1E4iQlTllBRbIzP,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",5,55-64 years old,1,Female,9,White,6,Graduate or professional degree,3,"$45,000 - $64,999",55075,2,Suburban,2,2,4,3,4,3,2,2,3,2,3,2,4,3,5,3,"Water softeners
 ",5,Pesticides,0,"Algae blooms,Death of fish and other aquatic life,Waterborne pathogens,Disease from consumption,Skin rashes with contact","Urban Runoff (storm drains),Commercial/Industrial Waste,Agriculture,Human Waste Products","Stream Bank Erosion,Individual Sewage Systems,Food/Garbage Disposal Waste,Atmospheric Deposition,Dish-washing Detergent",3,,,4,2,1,,,,,3,4,,,,1,5,2,Application of fertilizers,3,3,News outlets,Consumer,3,4,189,616,Southwest Minnesota,Unknown
8/28/2019 15:30,8/28/2019 15:37,IP Address,131.212.248.17,100,372,TRUE,8/28/2019 15:37,R_3ERPnk8KCTkjQT2,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",5,55-64 years old,1,Female,9,White,3,Associate's Degree,6,"$105,000 or more",55975,1,Urban,4,3,4,3,5,3,4,3,5,3,5,3,5,3,5,3,"Water purifiers/filter
 ",5,Bacteria,0,,"Individual Sewage Systems,Commercial/Industrial Waste,Agriculture,Atmospheric Deposition,Urban Runoff (storm drains),Stream Bank Erosion","Dish-washing Detergent,Food/Garbage Disposal Waste,Human Waste Products",3,,4,,2,5,6,,1,,2,,3,,,,1,,Application of fertilizers,2,2,News outlets,Consumer,2,4,458,731,Southeast Minnesota,Unknown
8/28/2019 15:33,8/28/2019 15:37,IP Address,131.212.251.6,100,257,TRUE,8/28/2019 15:37,R_2ygb8WGBY9rFcCU,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",1,18-24 years old,2,Male,9,White,5,Bachelor's Degree,1,"Less than $24,999",11215,1,Urban,3,2,4,3,4,3,0,1,3,2,1,1,5,3,5,3,I don't use any of these on a regular basis,0,Pesticides,0,"Death of fish and other aquatic life,Skin rashes with contact","Food/Garbage Disposal Waste,Atmospheric Deposition,Commercial/Industrial Waste,Stream Bank Erosion,Individual Sewage Systems,Agriculture","Human Waste Products,Urban Runoff (storm drains),Dish-washing Detergent",6,1,2,,3,,4,,5,,,,1,,2,,3,,I don’t know,5,5,Social media,Consumer,1,3,400,358,Northeastern Minnesota,Unknown
8/28/2019 15:33,8/28/2019 15:38,IP Address,131.212.250.2,100,297,TRUE,8/28/2019 15:38,R_SZfSnqjigV0PlrX,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",4,45-54 years old,1,Female,9,White,6,Graduate or professional degree,6,"$105,000 or more",55068,1,Urban,4,3,5,3,5,3,2,2,2,2,4,3,5,3,5,3,"Water purifiers/filter
 ",10,Pesticides,1,"Toxic drinking water,Heavy Metal Contamination",,,,,,,,,,,,,,,,,,,,,Application of fertilizers,4,4,Social media,Consumer,3,4,405,618,The Twin-Cities Metro Area,Unknown
8/28/2019 15:36,8/28/2019 15:41,IP Address,131.212.248.180,100,288,TRUE,8/28/2019 15:41,R_xhdTnWWgKLYFctj,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",5,55-64 years old,2,Male,9,White,6,Graduate or professional degree,5,"$80,000 - $104,999",55108,1,Urban,4,3,4,3,4,3,0,1,4,3,4,3,4,3,2,2,"Water purifiers/filter
 ,Water softeners
 ",7,Nitrogen ,2,"Toxic drinking water,Death of fish and other aquatic life,Waterborne pathogens","Agriculture,Human Waste Products,Dish-washing Detergent,Individual Sewage Systems,Commercial/Industrial Waste","Urban Runoff (storm drains),Food/Garbage Disposal Waste,Stream Bank Erosion,Atmospheric Deposition",1,,,2,5,,,3,4,,2,4,,,1,3,,,Application of fertilizers,6,6,News outlets,Consumer,3,3,193,625,Southwest Minnesota,Unknown
8/28/2019 15:35,8/28/2019 15:42,IP Address,131.212.251.99,100,447,TRUE,8/28/2019 15:42,R_1FJqDEP7gzHInTJ,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",5,55-64 years old,1,Female,9,White,5,Bachelor's Degree,6,"$105,000 or more",55108,1,Urban,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,"Water purifiers/filter
 ,Water softeners
 ",10,Phosphorus,2,"Algae blooms,Death of fish and other aquatic life,Flooding","Human Waste Products,Food/Garbage Disposal Waste,Stream Bank Erosion,Individual Sewage Systems,Urban Runoff (storm drains),Agriculture,Commercial/Industrial Waste","Dish-washing Detergent,Atmospheric Deposition",6,2,,1,7,5,3,,4,,,2,,,,,1,,Application of fertilizers,3,3,News outlets,Consumer,4,3,392,605,The Twin-Cities Metro Area,Unknown
8/28/2019 15:36,8/28/2019 15:42,IP Address,131.212.250.3,100,370,TRUE,8/28/2019 15:42,R_2aQf50j9TMemBXm,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",3,35-44 years old,1,Female,9,White,5,Bachelor's Degree,5,"$80,000 - $104,999",55438,2,Suburban,5,3,5,3,5,3,3,2,2,2,2,2,5,3,5,3,"Water purifiers/filter
 ,Bottled Water
 ",10,Synthetic chemicals,0,,,,,,,,,,,,,,,,,,,,,,I don’t know,6,4,Other,Consumer,3,3,402,354,Northeastern Minnesota,Unknown
8/28/2019 15:39,8/28/2019 15:43,IP Address,131.212.250.2,100,219,TRUE,8/28/2019 15:43,R_VOkVFK09wmyJ67v,,,,,44.97639465,-93.22399902,anonymous,EN,"I consent, begin the study",2,25-34 years old,1,Female,9,White,5,Bachelor's Degree,1,"Less than $24,999",55079,3,Rural,4,3,4,3,5,3,5,3,5,3,5,3,5,3,5,3,"Water purifiers/filter
 ,Bottled Water
 ",10,Bacteria,,Toxic drinking water,"Individual Sewage Systems,Urban Runoff (storm drains),Dish-washing Detergent,Stream Bank Erosion,Commercial/Industrial Waste,Food/Garbage Disposal Waste,Atmospheric Deposition,Human Waste Products,Agriculture",,9,6,7,8,5,2,4,3,1,,,,,,,,,,Application of fertilizers,4,4,Word-of-mouth,Consumer,3,5,177,604,Southwest Minnesota,Unknown
